"Revenue","Adjusted Value","Real Value","Currency","Date"
"95.60","90.50","92.80","USD","2024-06-21"
"80.10","75.80","78.20","EUR","2024-06-22"
"165.30","158.20","162.40","GBP","2024-06-23"
"112.40","107.30","110.50","USD","2024-06-24"
"88.20","83.90","86.20","EUR","2024-06-25"
"115.70","110.80","114.20","USD","2024-06-26"
"100.20","95.50","98.10","GBP","2024-06-27"
"135.90","129.80","133.20","USD","2024-06-28"
"72.80","69.40","71.50","EUR","2024-06-29"
"185.50","177.80","183.20","GBP","2024-06-30"
"118.30","113.20","116.50","USD","2024-07-01"
"94.10","89.60","92.10","EUR","2024-07-02"
"152.40","146.50","150.80","GBP","2024-07-03"
"128.70","123.20","126.80","USD","2024-07-04"
"70.50","67.20","69.30","EUR","2024-07-05"
"160.60","154.10","158.40","GBP","2024-07-06"
"140.80","134.80","138.70","USD","2024-07-07"
"85.90","81.70","84.10","EUR","2024-07-08"
"175.20","167.60","172.40","GBP","2024-07-09"
"108.50","103.60","106.80","USD","2024-07-10"
"98.30","93.60","96.20","EUR","2024-07-11"
"155.70","149.30","153.40","GBP","2024-07-12"
"132.40","126.40","130.20","USD","2024-07-13"
"78.20","74.50","76.80","EUR","2024-07-14"
"145.90","139.80","144.10","GBP","2024-07-15"
"148.20","141.80","146.10","USD","2024-07-16"
"90.20","85.90","88.40","EUR","2024-07-17"
"180.70","172.90","178.10","GBP","2024-07-18"
"125.60","120.10","123.70","USD","2024-07-19"
"76.40","72.70","74.90","EUR","2024-07-20"
"165.80","158.90","163.20","GBP","2024-07-21"
"138.90","132.60","136.50","USD","2024-07-22"
"82.70","78.80","81.10","EUR","2024-07-23"
"158.30","151.50","156.20","GBP","2024-07-24"
"132.10","126.20","130.40","USD","2024-07-25"
